Nr;Dzien;Godzina;Temperatura
1;16.11.2022;14:57;5
2;16.11.2022;15:09;5.1
3;16.11.2022;15:21;5.2
4;16.11.2022;15:33;5.4
5;16.11.2022;15:45;5.5
6;16.11.2022;15:57;5.5
7;16.11.2022;16:09;5.6
8;16.11.2022;16:21;5.7
9;16.11.2022;16:33;5.9
10;16.11.2022;16:45;6
11;16.11.2022;16:57;5.8
12;16.11.2022;17:09;5.7
13;16.11.2022;17:21;5.6
14;16.11.2022;17:33;5.4
15;16.11.2022;17:45;5.2
16;16.11.2022;17:57;5.1
17;16.11.2022;18:09;5
18;16.11.2022;18:21;4.8
19;16.11.2022;18:33;4.9
20;16.11.2022;18:45;4.7
21;16.11.2022;18:57;4.6
22;16.11.2022;19:09;4.6
23;16.11.2022;19:21;4.5
24;16.11.2022;19:33;4.4
25;16.11.2022;19:45;4.3
26;16.11.2022;19:57;4.4
27;16.11.2022;20:09;4.4
28;16.11.2022;20:21;4.6
29;16.11.2022;20:33;4.7
30;16.11.2022;20:45;4.9
31;16.11.2022;20:57;4.8
32;16.11.2022;21:09;5
33;16.11.2022;21:21;5.1
34;16.11.2022;21:33;5.3
35;16.11.2022;21:45;5.4
36;16.11.2022;21:57;5.5
37;16.11.2022;22:09;5.6
38;16.11.2022;22:21;5.7
39;16.11.2022;22:33;5.6
40;16.11.2022;22:45;6
41;16.11.2022;22:57;5.9
42;16.11.2022;23:09;5.9
43;16.11.2022;23:21;6.1
44;16.11.2022;23:33;6
45;16.11.2022;23:45;6
46;16.11.2022;23:57;5.9
47;17.11.2022;00:09;5.9
48;17.11.2022;00:21;6.1
49;17.11.2022;00:33;6.2
50;17.11.2022;00:45;6.3
51;17.11.2022;00:57;6.3
52;17.11.2022;01:09;6.4
53;17.11.2022;01:21;6.5
54;17.11.2022;01:33;6.4
55;17.11.2022;01:45;6.3
56;17.11.2022;01:57;6.4
57;17.11.2022;02:09;6.4
58;17.11.2022;02:21;6.3
59;17.11.2022;02:33;6.1
60;17.11.2022;02:45;5.9
61;17.11.2022;02:57;5.8
62;17.11.2022;03:09;5.6
63;17.11.2022;03:21;5.4
64;17.11.2022;03:33;5.3
65;17.11.2022;03:45;5.1
66;17.11.2022;03:57;5
67;17.11.2022;04:09;4.8
68;17.11.2022;04:21;4.7
69;17.11.2022;04:33;4.6
70;17.11.2022;04:45;4.5
71;17.11.2022;04:57;4.6
72;17.11.2022;05:09;4.4
73;17.11.2022;05:21;4.5
74;17.11.2022;05:33;4.4
75;17.11.2022;05:45;4.4
76;17.11.2022;05:57;4.3
77;17.11.2022;06:09;4.1
78;17.11.2022;06:21;4
79;17.11.2022;06:33;4
80;17.11.2022;06:45;3.9
81;17.11.2022;06:57;3.8
82;17.11.2022;07:09;3.9
83;17.11.2022;07:21;4.1
84;17.11.2022;07:33;4
85;17.11.2022;07:45;3.9
86;17.11.2022;07:57;3.9
